Timestamp,Open,High,Low,Close,Volume
1702080000000,2360.82,2365.13,2360.01,2363.95,17098.666
1702080900000,2363.84,2366.83,2362.36,2366.69,12949.021
1702081800000,2366.69,2367.72,2364.0,2366.71,14354.939
1702082700000,2366.71,2368.43,2363.8,2364.0,12143.058
1702083600000,2363.99,2364.97,2351.2,2352.87,33640.465
1702084500000,2352.77,2356.0,2352.75,2353.61,11544.055
1702085400000,2353.6,2357.72,2351.51,2355.83,12269.737
1702086300000,2355.83,2357.42,2353.12,2355.93,9413.316
1702087200000,2355.93,2357.26,2353.17,2353.66,9103.16
1702088100000,2353.66,2355.85,2350.08,2354.62,9563.097
1702089000000,2354.62,2355.69,2352.39,2352.52,6000.747
1702089900000,2352.51,2355.5,2352.3,2353.85,5379.361
1702090800000,2353.86,2358.84,2353.85,2357.7,7712.553
1702091700000,2357.71,2364.76,2357.7,2364.59,13872.098
1702092600000,2364.6,2365.17,2358.66,2359.39,11047.239
1702093500000,2359.39,2362.11,2357.29,2361.79,7072.377
1702094400000,2361.79,2365.0,2361.01,2361.38,9344.219
1702095300000,2361.38,2366.61,2361.27,2366.4,13286.772
1702096200000,2366.4,2368.3,2364.02,2364.9,9459.249
1702097100000,2364.91,2370.95,2364.73,2369.73,17291.085
1702098000000,2369.77,2374.88,2369.77,2370.98,22726.657
1702098900000,2370.98,2373.0,2369.11,2371.24,16923.219
1702099800000,2371.24,2372.0,2367.32,2368.79,9815.086
1702100700000,2368.79,2369.86,2367.23,2368.96,7703.648
1702101600000,2368.96,2377.67,2368.74,2372.21,44899.923
1702102500000,2372.21,2374.41,2371.59,2373.05,11672.807
1702103400000,2373.06,2376.75,2372.44,2376.02,16949.902
1702104300000,2376.03,2384.14,2370.26,2372.49,37653.455
1702105200000,2372.48,2390.2,2369.5,2384.52,55158.077
1702106100000,2384.52,2387.1,2377.0,2378.85,24278.195
1702107000000,2379.02,2381.88,2375.98,2381.0,18746.241
1702107900000,2380.99,2387.85,2379.4,2385.4,23514.814
1702108800000,2385.27,2394.3,2382.68,2389.89,42966.217
1702109700000,2389.89,2407.63,2389.88,2403.2,116579.445
1702110600000,2403.23,2403.57,2358.27,2365.38,216118.935
1702111500000,2365.37,2374.07,2361.0,2364.09,73102.182
1702112400000,2364.09,2368.39,2355.75,2366.37,54080.432
1702113300000,2366.37,2376.96,2364.8,2374.41,48931.19
1702114200000,2374.41,2376.4,2360.1,2360.56,38664.056
1702115100000,2360.57,2364.23,2356.55,2360.05,37015.625
1702116000000,2360.04,2363.9,2359.65,2363.81,16007.802
1702116900000,2363.81,2364.93,2352.0,2356.36,45164.916
1702117800000,2356.37,2362.73,2354.45,2361.0,18041.507
1702118700000,2361.0,2363.95,2359.55,2361.79,15002.022
1702119600000,2361.79,2363.15,2355.18,2355.36,19917.026
1702120500000,2355.36,2356.9,2350.0,2352.03,35659.873
1702121400000,2352.03,2357.32,2351.31,2355.2,18377.759
1702122300000,2355.2,2360.0,2353.35,2358.68,13644.207
1702123200000,2358.67,2363.97,2357.08,2361.11,17128.933
1702124100000,2361.11,2362.29,2352.37,2355.07,21147.322
1702125000000,2355.06,2356.56,2352.62,2353.25,11628.771
1702125900000,2353.26,2360.88,2353.25,2360.53,13689.549
1702126800000,2360.52,2362.13,2357.19,2357.79,18814.584
1702127700000,2357.79,2358.18,2353.51,2353.79,11352.033
1702128600000,2353.8,2357.91,2351.74,2353.71,21238.586
1702129500000,2353.71,2362.37,2353.16,2361.51,24227.043
1702130400000,2361.51,2371.85,2359.88,2368.22,44315.581
1702131300000,2368.21,2371.13,2365.5,2368.61,27946.669
1702132200000,2368.62,2368.62,2336.9,2350.17,84047.501
1702133100000,2350.17,2354.61,2336.96,2353.81,94621.46
1702134000000,2353.81,2357.08,2349.03,2350.0,39326.234
1702134900000,2350.0,2355.66,2350.0,2353.91,21657.707
1702135800000,2353.91,2360.89,2352.82,2360.0,19609.446
1702136700000,2360.0,2368.8,2359.24,2364.54,38908.851
1702137600000,2364.55,2367.35,2362.51,2362.73,18376.54
1702138500000,2362.73,2364.78,2347.47,2352.78,40855.878
1702139400000,2352.72,2358.13,2350.75,2356.49,20248.87
1702140300000,2356.5,2360.02,2352.87,2356.9,14522.301
1702141200000,2356.9,2356.9,2343.52,2345.26,38018.947
1702142100000,2345.26,2351.68,2345.25,2349.24,23329.981
1702143000000,2349.25,2355.47,2347.39,2350.51,22534.116
1702143900000,2350.5,2354.34,2349.16,2349.71,12353.745
1702144800000,2349.72,2354.24,2349.07,2352.31,11877.603
1702145700000,2352.36,2357.3,2352.36,2355.9,11741.404
1702146600000,2355.9,2362.32,2355.9,2361.83,13428.756
1702147500000,2361.83,2362.54,2359.45,2360.54,12653.964
1702148400000,2360.54,2362.2,2357.01,2362.12,11210.548
1702149300000,2362.12,2362.13,2358.61,2359.98,6948.044
1702150200000,2359.98,2362.71,2358.77,2359.99,6463.979
1702151100000,2359.99,2360.79,2357.48,2359.46,7494.916
1702152000000,2359.46,2359.93,2356.45,2356.71,6817.21
1702152900000,2356.71,2357.71,2351.36,2351.37,13146.752
1702153800000,2351.36,2355.99,2347.62,2355.29,19319.203
1702154700000,2355.29,2356.08,2353.0,2354.65,8221.288
1702155600000,2354.65,2354.69,2346.05,2346.2,14093.406
1702156500000,2346.2,2350.9,2345.35,2349.75,10051.343
1702157400000,2349.74,2360.53,2349.74,2358.09,23582.46
1702158300000,2358.09,2358.1,2354.73,2356.08,7225.394
1702159200000,2356.09,2364.3,2355.15,2363.62,15475.504
1702160100000,2363.61,2363.9,2360.02,2361.04,7121.056
1702161000000,2361.04,2362.19,2359.28,2359.99,3466.494
1702161900000,2359.99,2360.0,2354.27,2354.73,6271.165
1702162800000,2354.73,2358.99,2354.39,2356.41,9914.806
1702163700000,2356.41,2358.28,2345.24,2346.62,20999.816
1702164600000,2346.61,2348.54,2328.0,2337.83,108763.709
1702165500000,2337.82,2342.78,2334.76,2342.4,24205.47
1702166400000,2342.41,2346.78,2341.48,2344.13,25709.753
1702167300000,2344.14,2348.51,2344.14,2348.02,11673.509
1702168200000,2348.01,2350.0,2346.48,2349.41,11778.678
1702169100000,2349.41,2355.7,2348.61,2353.35,15866.544
1702170000000,2353.36,2354.02,2348.43,2349.35,13024.114
1702170900000,2349.34,2357.0,2347.59,2356.16,16490.485
1702171800000,2356.15,2356.99,2350.53,2352.72,14724.29
1702172700000,2352.73,2352.73,2350.13,2350.7,6895.02
1702173600000,2350.7,2353.51,2346.06,2346.41,15730.216
1702174500000,2346.41,2348.78,2345.2,2345.32,11084.359
1702175400000,2345.32,2349.11,2344.61,2347.82,7953.882
1702176300000,2347.82,2349.89,2346.0,2346.96,8781.557
1702177200000,2346.95,2350.78,2346.62,2349.49,7608.658
1702178100000,2349.49,2350.82,2346.92,2349.4,8247.839
1702179000000,2349.4,2353.02,2349.29,2352.0,6096.214
1702179900000,2352.0,2353.42,2350.11,2353.03,6702.807
1702180800000,2353.03,2353.2,2351.27,2351.29,6367.411
1702181700000,2351.41,2354.5,2350.35,2354.5,6144.187
1702182600000,2354.49,2356.66,2354.18,2356.01,8899.298
1702183500000,2356.02,2356.59,2354.19,2356.36,4867.153
1702184400000,2356.36,2356.89,2353.37,2354.42,8813.259
1702185300000,2354.43,2356.29,2353.8,2355.79,5175.366
1702186200000,2355.78,2359.13,2355.5,2357.17,8077.164
1702187100000,2357.17,2360.69,2355.63,2358.96,11581.869
1702188000000,2358.96,2359.53,2356.31,2356.31,5147.046
1702188900000,2356.32,2356.91,2353.62,2355.36,6376.607
1702189800000,2355.35,2355.36,2351.21,2353.84,14600.327
1702190700000,2353.84,2355.4,2349.78,2352.04,10531.665
1702191600000,2352.04,2353.1,2350.13,2350.43,6390.915
1702192500000,2350.45,2351.24,2346.0,2349.71,17105.119
1702193400000,2349.7,2351.88,2346.81,2351.64,12886.457
1702194300000,2351.64,2356.25,2351.64,2355.38,12752.061
1702195200000,2355.31,2357.96,2353.34,2353.62,17254.255
1702196100000,2353.62,2355.31,2347.55,2348.14,23787.369
1702197000000,2348.15,2349.0,2340.31,2342.89,33183.77
1702197900000,2342.88,2346.0,2342.5,2344.31,11930.809
